Ingredientid,Formula,cid,smiles
562,C15H26O ,11972555,CC1CCC(C12CCC(=CC2)C)C(C)(C)O
565,C15H24O2 ,5316254,CC1CCC2(CC1=O)C(CC(=O)C2C(C)C)C
566,C15H22O2 ,15558294,CC1CC(=O)C(C12CC=C(C(=O)C2)C)C(C)C
580,C29H36O15 ,90474101,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O
592,C21H24O4,6441048,CC=CC1=CC2=C(C(=C1)OC)OC(C2C)C3=CC(=C(C=C3)OC)OC
602,C18H22ClNO6,442840,COC1=CC(=O)C2(C1O)C(CC34C2(CCN3)CC(=O)C(=C4OC)OC)Cl
603,C19H24ClNO6,44144274,CN1CCC23C1(CC(C24C(C(=CC4=O)OC)O)Cl)C(=C(C(=O)C3)OC)OC
604,C19H24ClNO5,9977155,CN1CCC23C1(CC(C24CC(=CC4=O)OC)Cl)C(=C(C(=O)C3)OC)OC
617,C12H17N5O3 ,45102554,CC1C(CC(O1)N2C=NC3=C2N=CN=C3N)(CO)CO
618,C10H13N5O4 ,60961,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
626,C10H16N5O13P3 ,11634831,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
627,C20H21N3O2,5316460,CNC1=C(C=C(C=C1)C2CCN3C2=NC4=CC=CC=C4C3)C(=O)OC
642,C20H17NO6 ,120734,CN1CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3
645,C5H12O5 ,6912,C(C(C(C(CO)O)O)O)O
648,C28H44N4O4 ,5316533,CCC(C)C1C(=O)NC=CC2=CC=C(C=C2)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C)C(C)C
653,C9H14NO3+,4102253,C[NH2+]CC(C1=CC(=C(C=C1)O)O)O
664,C15H18O10 ,16211025,C1=CC(=O)OC2=CC(=C(C=C21)OC3C(C(C(C(O3)CO)O)O)O)O.O
675,C20H30O3 ,21668974,CC1(CCCC2(C1CCC3(C2CC=C(CC=O)C=O)CO3)C)C
676,C17H14O5,5281704,COC1=CC=C(C=C1)C2=COC3=CC(=C(C=C3C2=O)OC)O
677,C15H14O5,9943440,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O
703,C15H24O ,527157,CC1=CCCC2(C13CC(CC2)C(O3)(C)C)C
704,C15H24O ,15558511,CC1(C2CCC3(CCCC(=C)C3(C2)O1)C)C
705,C15H20O3 ,5316735,CC1CC2C(CC(=O)C3=COC(=C23)C1O)C(C)C
706,C15H26O ,289964,CC1CCC=C(C12CCC(C2)C(C)(C)O)C
707,C17H18O6 ,13606036,C1=CC=C(C=C1)CCC2=CC(=O)C3=C(O2)C(C(C(C3O)O)O)O
708,C47H44O22 ,11968428,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)COC(=O)CC(=O)OCC5C(C(C(C(O5)OC6=CC(=C7C(=C6)OC(=CC7=O)C8=CC=C(C=C8)OC)O)O)O)O)O)O)O)O
709,C24H24O11 ,5316761,CC(=O)OCC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=CC3=O)C4=CC=C(C=C4)OC)O)O)O)O
